site,camera,latitude,longitude,geometry,station,distance
Boquillas,8,31.68970353,-110.185152,POINT (-110.1851520039146 31.68970353050123),D-20-21 15DBD1 [BOQ-LI],0.000733235
Boquillas,8,31.68970353,-110.185152,POINT (-110.1851520039146 31.68970353050123),D-20-21 15DCB1 [BOQ-01],0.001498405
Boquillas,8,31.68970353,-110.185152,POINT (-110.1851520039146 31.68970353050123),D-20-21 15DDB [BOQ-UP],0.00168216
Boquillas,8,31.68970353,-110.185152,POINT (-110.1851520039146 31.68970353050123),D-20-21 22BAD3 [BOQWP2],0.007434881
Boquillas,8,31.68970353,-110.185152,POINT (-110.1851520039146 31.68970353050123),D-20-21 14BCC2 [BOQSUD],0.007484699
Charleston Mesquite,2,31.66586341,-110.1788413,POINT (-110.1788412518947 31.66586341051406),D-20-21 22BAD3 [BOQWP2],0.020034315
Charleston Mesquite,2,31.66586341,-110.1788413,POINT (-110.1788412518947 31.66586341051406),D-20-21 15DDB [BOQ-UP],0.024766745
Charleston Mesquite,2,31.66586341,-110.1788413,POINT (-110.1788412518947 31.66586341051406),D-20-21 15DCB1 [BOQ-01],0.025259196
Charleston Mesquite,2,31.66586341,-110.1788413,POINT (-110.1788412518947 31.66586341051406),D-20-21 15DBD1 [BOQ-LI],0.0253886
Charleston Mesquite,2,31.66586341,-110.1788413,POINT (-110.1788412518947 31.66586341051406),D-20-21 14BCC2 [BOQSUD],0.029773286
Contention,6,31.76739922,-110.2051482,POINT (-110.2051482091703 31.76739921841998),D-19-21 21ACC2 [CONLID],0.00197761
Contention,6,31.76739922,-110.2051482,POINT (-110.2051482091703 31.76739921841998),D-19-21 28ACD [TOM-LI],0.014957349
Contention,6,31.76739922,-110.2051482,POINT (-110.2051482091703 31.76739921841998),D-19-21 08DAC1 [SUM-LI],0.02844737
Contention,6,31.76739922,-110.2051482,POINT (-110.2051482091703 31.76739921841998),D-20-21 03CBA [FBK-LI],0.047432671
Contention,6,31.76739922,-110.2051482,POINT (-110.2051482091703 31.76739921841998),D-20-21 03CAB [FBK-LO],0.047433609
Fairbank,1,31.72230922,-110.1937963,POINT (-110.1937962664735 31.72230921918254),D-20-21 03CBA [FBK-LI],0.000974032
Fairbank,1,31.72230922,-110.1937963,POINT (-110.1937962664735 31.72230921918254),D-20-21 03CAB [FBK-LO],0.00144827
Fairbank,1,31.72230922,-110.1937963,POINT (-110.1937962664735 31.72230921918254),D-20-21 10AAC2 [FBK-UP],0.013370122
Fairbank,1,31.72230922,-110.1937963,POINT (-110.1937962664735 31.72230921918254),D-20-21 14BCC1 [BOQSUS],0.029814651
Fairbank,1,31.72230922,-110.1937963,POINT (-110.1937962664735 31.72230921918254),D-20-21 14BCC2 [BOQSUD],0.02983334
Hereford,5,31.4617564,-110.1096757,POINT (-110.1096756950508 31.46175640329242),D-23-22 04DCA1 [HERUWS],0.00702944
Hereford,5,31.4617564,-110.1096757,POINT (-110.1096756950508 31.46175640329242),D-23-22 04DCD3 [HERUES],0.007086293
Hereford,5,31.4617564,-110.1096757,POINT (-110.1096756950508 31.46175640329242),D-23-22 04DCD4 [HERUED],0.007088788
Hereford,5,31.4617564,-110.1096757,POINT (-110.1096756950508 31.46175640329242),D-23-22 04DCD2 [HER-LD],0.007223105
Hereford,5,31.4617564,-110.1096757,POINT (-110.1096756950508 31.46175640329242),D-23-22 04DCD1 [HER-LS],0.007237004
Hunter,4,31.48088171,-110.1185904,POINT (-110.1185904409986 31.48088171457681),D-22-22 28CCD [HUN-SO],0.000559279
Hunter,4,31.48088171,-110.1185904,POINT (-110.1185904409986 31.48088171457681),D-22-22 33BBC [HUN-UP],0.002230921
Hunter,4,31.48088171,-110.1185904,POINT (-110.1185904409986 31.48088171457681),D-22-22 28CAA1 [HUN-LI],0.002381422
Hunter,4,31.48088171,-110.1185904,POINT (-110.1185904409986 31.48088171457681),D-22-22 28CAA2 [HUN-LO],0.002799392
Hunter,4,31.48088171,-110.1185904,POINT (-110.1185904409986 31.48088171457681),D-23-22 04DCA1 [HERUWS],0.027323197
Moson,3,31.61143832,-110.1669322,POINT (-110.1669322058037 31.61143832225842),D-21-21 13BAB2 [MOSLND],0.000712911
Moson,3,31.61143832,-110.1669322,POINT (-110.1669322058037 31.61143832225842),D-21-21 13BAB1 [MOSLNS],0.000714716
Moson,3,31.61143832,-110.1669322,POINT (-110.1669322058037 31.61143832225842),D-21-21 13BAC1 [MOSWAS],0.000720605
Moson,3,31.61143832,-110.1669322,POINT (-110.1669322058037 31.61143832225842),D-21-21 13BAB4 [MOSLNW],0.000755285
Moson,3,31.61143832,-110.1669322,POINT (-110.1669322058037 31.61143832225842),D-21-21 13BAB5 [MOSBLM],0.000759032
St. David,7,31.80850111,-110.2093181,POINT (-110.2093181242019 31.80850110759403),D-19-21 05AAA1 [STD-LI],0.010690157
St. David,7,31.80850111,-110.2093181,POINT (-110.2093181242019 31.80850110759403),D-19-21 05AAA2 [STD-LO],0.010773641
St. David,7,31.80850111,-110.2093181,POINT (-110.2093181242019 31.80850110759403),D-19-21 08DAC1 [SUM-LI],0.01757794
St. David,7,31.80850111,-110.2093181,POINT (-110.2093181242019 31.80850110759403),D-19-21 21ACC2 [CONLID],0.041840958
St. David,7,31.80850111,-110.2093181,POINT (-110.2093181242019 31.80850110759403),D-19-21 28ACD [TOM-LI],0.056232474
